Id,Designator,Package,Quantity,Designation,MPN
3,"C3,C2",C_0805,2,47 pF,885012007032
4,C4,C_0805,1,1 uF,CC0805KKX7R7BB105
6,C5,C_0805,1,4.7 uF,GRM21BR61E475KA12L
7,"Q2,Q1,Q3",SOIC-8-N,3,DMG9933USD,DMG9933USD-13DICT-ND
8,BT1,S8201-46R,1,CR1220,S8201-46R
9,U3,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,DS3231M,DS3231MZ/V+
10,IC1,SOIC-20_7.5x12.8mm_Pitch1.27mm,1,ATTINY2313A-S,ATtiny4313
11,"D_M_8,D_S_40,D_S_20,D_S_10,D_S_8,D_S_4,D_S_2,D_S_1,D_M_40,D_M_20,D_M_10,D_M_4,D_M_2,D_M_1,D_H_20,D_H_10,D_H_8,D_H_4,D_H_2,D_H_1",CREELED_6,20,CLY6D-FKC,CLY6D-FKC-CK1N1D1BB7D3D3
12,SW1,SW_SPST_PTS645,1,SW_PUSH,PTS645SH50SMTR92 LFS
13,"R5,R9,R8,R7",R_0805,4,1K,RC0805JR-071KL
14,R6,R_0805,1,2K,RC0805JR-072KL
15,"R3,R4",R_0805,2,R27,RC0805JR-0727RL
16,P1,2013499-1,1,USB_OTG,2013499-1
17,U2,SOIC-24_7.5x15.4mm_Pitch1.27mm,1,STP16CPC26,STP16CPC26MTR
18,P2,2x3_header_smd_0.1in,1,CONN_02X03,15910060
19,U1,SSOP-16_3.9x4.9mm_Pitch0.635mm,1,FT230XS,FT230XS-U
20,C1,C_0805,1,0.1 uF,C0805C104K3RACTU
21,"C7,C10,C6,C8,C9",C_0805,6,0.1 uF,C0805C104K3RACTU